form,kind,name,expression,extra
101,formula,Кредиты ФЛ,45.2,a_p=1
101,formula,Кредиты ЮЛ,441+442+443+444+445+446+447+448+449+450+451+453+454+460+461+462+463+464+465+466+467+468+469+470+472+47.1+45.0,a_p=1
101,formula,Средства ФЛ,42.2+522,a_p=2
101,formula,Средства ЮЛ,401+402+403+404+410+411+412+413+427+428+429+430+405+406+407+408+414+415+416+417+418+419+420+421+422+425+431+432+433+434+435+436+437+439+476+521+524+43.1,a_p=2
101,formula,СР ЮЛ Гос средства,401+402+403+404+410+411+412+413+427+428+429+430,a_p=2
101,formula,СР ЮЛ Ср на счетах+эскроу,405+406+407+408,a_p=2
101,formula,СР ЮЛ Депозиты,414+415+416+417+418+419+420+421+422+425+431+432+433+434+435+436+437+439+476+521+524+43.1,a_p=2
101,formula,Ценные бумаги,501+502+503+504+505+506+507+512+513+514+515+516+517+518+519,a_p=1
101,formula,Эскроу,408,a_p=2
101,formula,Кредиты ЦБ до переоценки,312+329+317,a_p=2
101,formula,Депозиты в ЦБ и кредиты банкам,32.1+32.2+324+325,a_p=1
102,formula,ЧПД,11000+12000+13000-31000-32000-33000-34000-35000-36000-44000+14000+16000+24000,
102,formula,ЧКД,27000,
102,formula,Прочие доходы,22000+23000+24000+25000+26000+28050+29000-42000-43000-45000-46000-47050,
102,formula,Операц. расходы,-48000,
102,formula,Резервы,15000+17000+21000-37000-38000-41000,
102,formula,Прибыль до налогов,01000-02000,
102,formula,Налоги,03000-04000,
102,formula,Чистая прибыль,61101-61102,
123,formula,Собственные средства,000,
123,formula,Базовые средства,102,
123,formula,Основные средства,102+105,
135,metric,H1.0,"C1_3 == ""Н1.0"" -> C2_3",source=DBF
135,metric,H1.1,"C1_3 == ""Н1.1"" -> C2_3",source=DBF
135,metric,H1.2,"C1_3 == ""Н1.2"" -> C2_3",source=DBF
